year	round	pick	player	position	school	allstar_appearance	allstar_by_school	draft_picks
1989	2	32	Stanley Brundy	F	DePaul	0	0	1
1989	2	33	Jay Edwards	G	Indiana	0	0	1
1989	2	34	Gary Leonard	C	Missouri	0	0	1
1989	2	35	Pat Durham	F	Colorado State	0	0	1
1989	2	36	Cliff Robinson	PF/C	Connecticut	1	1	1
1989	2	37	Michael Ansley	F	Alabama	0	0	1
1989	2	38	Doug West	G/F	Villanova	0	0	1
1989	2	39	Ed Horton	PF/C	Iowa	0	0	1
1989	2	40	Dino Rađa	PF	KK Split	0	0	1
1989	2	41	Doug Roth	C	Tennessee	0	0	1
1989	2	42	Michael Cutright	SG	McNeese State	0	0	1
1989	2	43	Chucky Brown	PF	North Carolina State	0	0	1
1989	2	44	Reggie Cross	PF	Hawaii	0	0	1
1989	2	45	Scott Haffner	G	Evansville	0	0	1
1989	2	46	Ricky Blanton	F	LSU	0	0	1
1989	2	47	Reggie Turner	SF	UAB	0	0	1
1989	2	48	Junie Lewis	PG	South Alabama	0	0	1
1989	2	49	Haywoode Workman	G	Oral Roberts	0	0	1
1989	2	50	Brian Quinnett	F	Washington State	0	0	1
1989	2	51	Mike Morrison	G	Loyola	0	0	1
1989	2	52	Greg Grant	G	Trenton State	0	0	1
1989	2	53	Jeff Hodge	SG	South Alabama	0	0	1
1989	2	54	Toney Mack	SG	Georgia	0	0	1
1990	1	1	Derrick Coleman	PF/C	Syracuse	1	1	1
1990	1	2	Gary Payton	PG	Oregon State	9	1	1
1990	1	3	Chris Jackson	PG	LSU	0	0	1
1990	1	4	Dennis Scott	SG/SF	Georgia Tech	0	0	1
1990	1	5	Kendall Gill	SG	Illinois	0	0	1
1990	1	6	Felton Spencer	C	Louisville	0	0	1
1990	1	7	Lionel Simmons	SF	La Salle	0	0	1
1990	1	8	Bo Kimble	SG	Loyola Marymount	0	0	1
1990	1	9	Willie Burton	SG	Minnesota	0	0	1
1990	1	10	Rumeal Robinson	PG	Michigan	0	0	1
1990	1	11	Tyrone Hill	PF	Xavier	1	1	1
1990	1	12	Alec Kessler	PF	Georgia	0	0	1
1990	1	13	Loy Vaught	PF	Michigan	0	0	1
1990	1	14	Travis Mays	PG	Texas	0	0	1
1990	1	15	Dave Jamerson	SG	Ohio	0	0	1
1990	1	16	Terry Mills	SF	Michigan	0	0	1
1990	1	17	Jerrod Mustaf	F/C	Maryland	0	0	1
1990	1	18	Duane Causwell	C	Temple	0	0	1
1990	1	19	Dee Brown	SG	Jacksonville	0	0	1
1990	1	20	Gerald Glass	SF/SG	Ole Miss	0	0	1
1990	1	21	Jayson Williams	PF/C	St. John's	1	1	1
1990	1	22	Tate George	SG	Connecticut	0	0	1
1990	1	23	Anthony Bonner	PF/SF	Saint Louis	0	0	1
1990	1	24	Dwayne Schintzius	C	Florida	0	0	1
1990	1	25	Alaa Abdelnaby	PF	Duke	0	0	1
1990	1	26	Lance Blanks	PG/SG	Texas	0	0	1
1990	1	27	Elden Campbell	PF/C	Clemson	0	0	1
1990	2	28	Les Jepsen	C	Iowa	0	0	1
1990	2	29	Toni Kukoč	SF	KK Split	0	0	1
1990	2	30	Carl Herrera	PF	Houston	0	0	1
1990	2	31	Negele Knight	G	Dayton	0	0	1
1990	2	32	Brian Oliver	G	Georgia Tech	0	0	1
1990	2	33	Walter Palmer	C/F	Dartmouth	0	0	1
1990	2	34	Kevin Pritchard	G	Kansas	0	0	1
1990	2	35	Greg Foster	F/C	UTEP	0	0	1
1990	2	36	Trevor Wilson	F	UCLA	0	0	1
1990	2	37	A.J. English	G	Virginia Union	0	0	1
1990	2	38	Jud Buechler	F/G	Arizona	0	0	1
1990	2	39	Steve Scheffler	C/F	Purdue	0	0	1
1990	2	40	Bimbo Coles	G	Virginia Tech	0	0	1
1990	2	41	Steve Bardo	G	Illinois	0	0	1
1990	2	42	Marcus Liberty	F	Illinois	0	0	1
1990	2	43	Tony Massenburg	F	Maryland	0	0	1
1990	2	44	Steve Henson	G	Kansas State	0	0	1
1990	2	45	Antonio Davis	F/C	UTEP	1	1	1
1990	2	46	Kenny Williams	F	Elizabeth City State	0	0	1
1990	2	47	Derek Strong	F	Xavier	0	0	1
1990	2	48	Cedric Ceballos	F	Cal State Fullerton	1	1	1
1990	2	49	Phil Henderson	SG	Duke	0	0	1
1990	2	50	Miloš Babić	C	Tennessee Tech	0	0	1
1990	2	51	Tony Smith	G	Marquette	0	0	1
1990	2	52	Stefano Rusconi	PF/C	Ranger Varese	0	0	1
1990	2	53	Abdul Shamsid-Deen	C	Providence	0	0	1
1990	2	54	Sean Higgins	G/F	Michigan	0	0	1
1991	1	1	Johnson, Larry	PF	UNLV	2	1	1
1991	1	2	Anderson, Kenny	PG	Georgia Tech	1	1	1
1991	1	3	Owens, Billy	SF	Syracuse	0	0	1
1991	1	4	Mutombo, Dikembe	C	Georgetown	8	1	1
1991	1	5	Smith, Steve	SG	Michigan State	1	1	1
1991	1	6	Smith, Doug	PF	Missouri	0	0	1
1991	1	7	Longley, Luc	C	New Mexico	0	0	1
1991	1	8	Macon, Mark	SG	Temple	0	0	1
1991	1	9	Stacey Augmon	SG/SF	UNLV	0	0	1
1991	1	10	Williams, Brian	PF/C	Arizona	0	0	1
1991	1	11	Brandon, Terrell	PG	Oregon	2	1	1
1991	1	12	Anthony, Greg	PG	UNLV	0	0	1
1991	1	13	Davis, Dale	PF	Clemson	1	1	1
1991	1	14	King, Rich	C	Nebraska	0	0	1
1991	1	15	Avent, Anthony	PF	Seton Hall	0	0	1
1991	1	16	Gatling, Chris	PF	Old Dominion	1	1	1
1991	1	17	Alexander, Victor	C	Iowa State	0	0	1
1991	1	18	Brooks, Kevin	SF	Southwestern Louisiana	0	0	1
1991	1	19	Smith, LaBradford	SG	Louisville	0	0	1
1991	1	20	Turner, John	PF	Phillips	0	0	1
1991	1	21	Murdock, Eric	PG	Providence	0	0	1
1991	1	22	Ellis, LeRon	PF	Syracuse	0	0	1
1991	1	23	Roberts, Stanley	C	Real Madrid	0	0	1
1991	1	24	Fox, Rick	SF	North Carolina	0	0	1
1991	1	25	Vandiver, Shaun	PF	Colorado	0	0	1
1991	1	26	Randall, Mark	PF	Kansas	0	0	1
1991	1	27	Chilcutt, Pete	PF	North Carolina	0	0	1
1991	2	28	Lynch, Kevin	G/F	Minnesota	0	0	1
1991	2	29	Ackles, George	C/PF	UNLV	0	0	1
1991	2	30	Monroe, Rodney	G/F	NC State	0	0	1
1991	2	31	Brown, Randy	PG	New Mexico State	0	0	1
1991	2	32	Gallagher, Chad	C	Creighton	0	0	1
1991	2	33	Hodge, Donald	C	Temple	0	0	1
1991	2	34	Brown, Myron	G	Slippery Rock	0	0	1
1991	2	35	Iuzzolino, Mike	G	Saint Francis (PA)	0	0	1
1991	2	36	Corchiani, Chris	G	NC State	0	0	1
1991	2	37	Perry, Elliot	PG	Memphis State	0	0	1
1991	2	38	Wylie, Joe	PF	Miami (FL)	0	0	1
1991	2	39	Oliver, Jimmy	G/F	Purdue	0	0	1
1991	2	40	Overton, Doug	PG	La Salle	0	0	1
1991	2	41	Green, Sean	F/G	Iona	0	0	1
1991	2	42	Hood, Steve	SF	James Madison	0	0	1
1991	2	43	Strothers, Lamont	G	Christopher Newport	0	0	1
1991	2	44	Teherán, Álvaro	C	Houston	0	0	1
1991	2	45	Phills, Bobby	SG	Southern	0	0	1
1991	2	46	Dumas, Richard	F	Hapoel Holon	0	0	1
1991	2	47	Hughes, Keith	PF	Rutgers	0	0	1
1991	2	48	Austin, Isaac	C	Arizona State	0	0	1
1991	2	49	Sutton, Greg	G	Oral Roberts	0	0	1
1991	2	50	Wright, Joey	SG	Texas	0	0	1
1991	2	51	Tabak, Žan	C	KK Split	0	0	1
1991	2	52	Jones, Anthony	SF	Oral Roberts	0	0	1
1991	2	53	McDade, Von	SG	Milwaukee	0	0	1
1991	2	54	Kennedy, Marcus	PF	Eastern Michigan	0	0	1
1992	1	1	Shaquille O'Neal	C	LSU	15	1	1
1992	1	2	Alonzo Mourning	C	Georgetown	7	1	1
1992	1	3	Christian Laettner	PF	Duke	1	1	1
1992	1	4	Jimmy Jackson	SG	Ohio State	0	0	1
1992	1	5	LaPhonso Ellis	PF	Notre Dame	0	0	1
1992	1	6	Tom Gugliotta	PF	NC State	1	1	1
1992	1	7	Walt Williams	SF	Maryland	0	0	1
1992	1	8	Todd Day	SG	Arkansas	0	0	1
1992	1	9	Clarence Weatherspoon	PF	Southern Miss	0	0	1
1992	1	10	Adam Keefe	PF	Stanford	0	0	1
1992	1	11	Robert Horry	SF	Alabama	0	0	1
1992	1	12	Harold Miner	SG	USC	0	0	1
1992	1	13	Bryant Stith	SG	Virginia	0	0	1
1992	1	14	Malik Sealy	SF	St. John's	0	0	1
1992	1	15	Anthony Peeler	SG	Missouri	0	0	1
1992	1	16	Randy Woods	PG	La Salle	0	0	1
1992	1	17	Doug Christie	SG	Pepperdine	0	0	1
1992	1	18	Tracy Murray	SF	UCLA	0	0	1
1992	1	19	Don MacLean	PF	UCLA	0	0	1
1992	1	20	Hubert Davis	SG	North Carolina	0	0	1
1992	1	21	Jon Barry	SG	Georgia Tech	0	0	1
1992	1	22	Oliver Miller	C	Arkansas	0	0	1
1992	1	23	Lee Mayberry	PG	Arkansas	0	0	1
1992	1	24	Latrell Sprewell	SG	Alabama	4	1	1
1992	1	25	Elmore Spencer	C	UNLV	0	0	1
1992	1	26	Dave Johnson	SF	Syracuse	0	0	1
1992	1	27	Byron Houston	PF	Oklahoma State	0	0	1
1992	2	28	Marlon Maxey	PF	UTEP	0	0	1
1992	2	29	P. J. Brown	PF	Louisiana Tech	0	0	1
1992	2	30	Sean Rooks	PF/C	Arizona	0	0	1
1992	2	31	Reggie Smith	C	TCU	0	0	1
1992	2	32	Brent Price	G	Oklahoma	0	0	1
1992	2	33	Corey Williams	G	Oklahoma State	0	0	1
1992	2	34	Chris Smith	G	Connecticut	0	0	1
1992	2	35	Tony Bennett	G	Wisconsin–Green Bay	0	0	1
1992	2	36	Duane Cooper	G	USC	0	0	1
1992	2	37	Isaiah Morris	F	Arkansas	0	0	1
1992	2	38	Elmer Bennett	G	Notre Dame	0	0	1
1992	2	39	Litterial Green	G	Georgia	0	0	1
1992	2	40	Steve Rogers	SG/SF	Alabama State	0	0	1
1992	2	41	Popeye Jones	F	Murray State	0	0	1
1992	2	42	Matt Geiger	C	Georgia Tech	0	0	1
1992	2	43	Predrag Danilović	SG	KK Partizan, Yugoslavia	0	0	1
1992	2	44	Henry Williams	G	UNC-Charlotte	0	0	1
1992	2	45	Chris King	F	Wake Forest	0	0	1
1992	2	46	Robert Werdann	C	St. John's	0	0	1
1992	2	47	Darren Morningstar	C	Pittsburgh	0	0	1
1992	2	48	Brian Davis	F/G	Duke	0	0	1
1992	2	49	Ron Ellis	PF	Louisiana Tech	0	0	1
1992	2	50	Matt Fish	F	UNC-Wilmington	0	0	1
1992	2	51	Tim Burroughs	PF	Jacksonville	0	0	1
1992	2	52	Matt Steigenga	F	Michigan State	0	0	1
1992	2	53	Curtis Blair	PG	Richmond	0	0	1
1992	2	54	Brett Roberts	SF	Morehead State	0	0	1
1993	1	1	Webber, Chris	PF/C	Michigan	5	1	1
1993	1	2	Bradley, Shawn	C	BYU	0	0	1
1993	1	3	Hardaway, Penny	PG/SG	Memphis State	4	1	1
1993	1	4	Mashburn, Jamal	SF	Kentucky	1	1	1
1993	1	5	Rider, Isaiah	SG	UNLV	0	0	1
1993	1	6	Cheaney, Calbert	SG/SF	Indiana	0	0	1
1993	1	7	Hurley, Bobby	PG	Duke	0	0	1
1993	1	8	Baker, Vin	PF	Hartford	4	1	1
1993	1	9	Rogers, Rodney	PF	Wake Forest	0	0	1
1993	1	10	Hunter, Lindsey	PG	Jackson State	0	0	1
1993	1	11	Houston, Allan	SG	Tennessee	2	1	1
1993	1	12	Lynch, George	SF	North Carolina	0	0	1
1993	1	13	Dehere, Terry	SG	Seton Hall	0	0	1
1993	1	14	Haskin, Scott	PF	Oregon State	0	0	1
1993	1	15	Edwards, Doug	SF	Florida State	0	0	1
1993	1	16	Walters, Rex	SG	Kansas	0	0	1
1993	1	17	Graham, Greg	SG	Indiana	0	0	1
1993	1	18	Wright, Luther	C	Seton Hall	0	0	1
1993	1	19	Earl, Acie	C	Iowa	0	0	1
1993	1	20	Burrell, Scott	SF	Connecticut	0	0	1
1993	1	21	Robinson, James	SG	Alabama	0	0	1
1993	1	22	Mills, Chris	SF	Arizona	0	0	1
1993	1	23	Johnson, Ervin	C	New Orleans	0	0	1
1993	1	24	Cassell, Sam	PG	Florida State	1	1	1
1993	1	25	Blount, Corie	PF	Cincinnati	0	0	1
1993	1	26	Hammink, Geert	C	LSU	0	0	1
1993	1	27	Mackey, Malcolm	PF	Georgia Tech	0	0	1
1993	2	28	Harris, Lucious	PG	Long Beach State	0	0	1
1993	2	29	Mills, Sherron	F/C	VCU	0	0	1
1993	2	30	Mureșan, Gheorghe	C	Pau-Orthez	0	0	1
1993	2	31	Burns, Evers	F	Maryland	0	0	1
1993	2	32	Ford, Alphonso	SG	Mississippi Valley State	0	0	1
1993	2	33	Riley, Eric	C	Michigan	0	0	1
1993	2	34	Mee, Darnell	SG	Western Kentucky	0	0	1
1993	2	35	Stokes, Ed	C	Arizona	0	0	1
1993	2	36	Best, John	F/C	Tennessee Tech	0	0	1
1993	2	37	Van Exel, Nick	PG	Cincinnati	1	1	1
1993	2	38	McRae, Conrad	PF	Syracuse	0	0	1
1993	2	39	Hill, Thomas	SG/SF	Duke	0	0	1
1993	2	40	Manning, Rich	C	Washington	0	0	1
1993	2	41	Reed, Anthony	F	Tulane	0	0	1
1993	2	42	Jordan, Adonis	PG	Kansas	0	0	1
1993	2	43	Grant, Josh	PF	Utah	0	0	1
1993	2	44	Holcombe, Alex	C	Baylor	0	0	1
1993	2	45	Russell, Bryon	SF	Long Beach State	0	0	1
1993	2	46	Petruška, Richard	C	UCLA	0	0	1
1993	2	47	Whitney, Chris	PG	Clemson	0	0	1
1993	2	48	Thompson, Kevin	C	NC State	0	0	1
1993	2	49	Buford, Mark	C	Mississippi Valley State	0	0	1
1993	2	50	Nicola, Marcelo	PF	Taugres	0	0	1
1993	2	51	Dunkley, Spencer	C	Delaware	0	0	1
1993	2	52	Peplowski, Mike	C	Michigan State	0	0	1
1993	2	53	White, Leonard	F	Southern	0	0	1
1993	2	54	Wilson, Byron	SG/SF	Utah	0	0	1
1994	1	1	Robinson, Glenn	SF	Purdue	2	1	1
1994	1	2	Kidd, Jason	PG	California	10	1	1
1994	1	3	Hill, Grant	SF	Duke	7	1	1
1994	1	4	Marshall, Donyell	SF	Connecticut	0	0	1
1994	1	5	Howard, Juwan	PF	Michigan	1	1	1
1994	1	6	Wright, Sharone	PF/C	Clemson	0	0	1
1994	1	7	Murray, Lamond	SF	California	0	0	1
1994	1	8	Grant, Brian	PF	Xavier	0	0	1
1994	1	9	Montross, Eric	C	North Carolina	0	0	1
1994	1	10	Jones, Eddie	SG	Temple	3	1	1
1994	1	11	Rogers, Carlos	SF	Tennessee State	0	0	1
1994	1	12	Reeves, Khalid	PG	Arizona	0	0	1
1994	1	13	Rose, Jalen	G/F	Michigan	0	0	1
1994	1	14	Dare, Yinka	C	George Washington	0	0	1
1994	1	15	Piatkowski, Eric	SG	Nebraska	0	0	1
1994	1	16	Rozier, Clifford	PF	Louisville	0	0	1
1994	1	17	McKie, Aaron	SG	Temple	0	0	1
1994	1	18	Mobley, Eric	PF	Pittsburgh	0	0	1
1994	1	19	Dumas, Tony	SG	UMKC	0	0	1
1994	1	20	Tyler, B.J.	PG	Texas	0	0	1
1994	1	21	Simpkins, Dickey	PF	Providence	0	0	1
1994	1	22	Curley, Bill	PF	Boston College	0	0	1
1994	1	23	Person, Wesley	SG	Auburn	0	0	1
1994	1	24	Williams, Monty	SF	Notre Dame	0	0	1
1994	1	25	Minor, Greg	SG	Louisville	0	0	1
1994	1	26	Ward, Charlie	PG	Florida State	0	0	1
1994	1	27	Thompson, Brooks	PG	Oklahoma State	0	0	1
1994	2	28	Thomas, Deon	F/C	Illinois	0	0	1
1994	2	29	Lang, Antonio	F/G	Duke	0	0	1
1994	2	30	Eisley, Howard	PG	Boston College	0	0	1
1994	2	31	Dent, Rodney	F/C	Kentucky	0	0	1
1994	2	32	McIlvaine, Jim	C	Marquette	0	0	1
1994	2	33	Alston, Derrick	F	Duquesne	0	0	1
1994	2	34	Nickerson, Gaylon	G	Northwestern Oklahoma State	0	0	1
1994	2	35	Smith, Michael	F	Providence	0	0	1
1994	2	36	Fetisov, Andrei	F	Forum Valladolid	0	0	1
1994	2	37	Wingfield, Dontonio	F	Cincinnati	0	0	1
1994	2	38	Hancock, Darrin	G/F	Kansas	0	0	1
1994	2	39	Miller, Anthony	F	Michigan State	0	0	1
1994	2	40	Webster, Jeff	F	Oklahoma	0	0	1
1994	2	41	Njoku, William	PF	St. Mary's (Canada)	0	0	1
1994	2	42	Collier, Gary	SF	Tulsa	0	0	1
1994	2	43	Scott, Shawnelle	C	St. John's	0	0	1
1994	2	44	Bailey, Damon	G	Indiana	0	0	1
1994	2	45	Morton, Dwayne	F	Louisville	0	0	1
1994	2	46	Lenard, Voshon	SG	Minnesota	0	0	1
1994	2	47	Watson, Jamie	F	South Carolina	0	0	1
1994	2	48	Crudup, Jevon	F/C	Missouri	0	0	1
1994	2	49	Bruton, Kris	SF	Benedict	0	0	1
1994	2	50	Claxton, Charles	C	Georgia	0	0	1
1994	2	51	Funderburke, Lawrence	PF	Ohio State	0	0	1
1994	2	52	Goldwire, Anthony	PG	Houston	0	0	1
1994	2	53	Burditt, Albert	PF	Texas	0	0	1
1994	2	54	Rebrača, Željko	C	KK Partizan	0	0	1
1995	1	1	Smith, Joe	PF	Maryland	0	0	1
1995	1	2	McDyess, Antonio	PF	Alabama	1	1	1
1995	1	3	Stackhouse, Jerry	SG	North Carolina	2	1	1
1995	1	4	Wallace, Rasheed	PF	North Carolina	4	1	1
1995	1	5	Garnett, Kevin	PF	Farragut Academy HS	15	1	1
1995	1	6	Reeves, Bryant	C	Oklahoma State	0	0	1
1995	1	7	Stoudamire, Damon	PG	Arizona	0	0	1
1995	1	8	Respert, Shawn	SG	Michigan State	0	0	1
1995	1	9	O'Bannon, Ed	SF	UCLA	0	0	1
1995	1	10	Thomas, Kurt	PF/C	TCU	0	0	1
1995	1	11	Trent, Gary	PF	Ohio	0	0	1
1995	1	12	Parks, Cherokee	C	Duke	0	0	1
1995	1	13	Williamson, Corliss	PF	Arkansas	0	0	1
1995	1	14	Williams, Eric	SF	Providence	0	0	1
1995	1	15	Barry, Brent	SG	Oregon State	0	0	1
1995	1	16	Henderson, Alan	PF	Indiana	0	0	1
1995	1	17	Sura, Bob	SG	Florida State	0	0	1
1995	1	18	Ratliff, Theo	PF/C	Wyoming	1	1	1
1995	1	19	Childress, Randolph	PG	Wake Forest	0	0	1
1995	1	20	Caffey, Jason	PF	Alabama	0	0	1
1995	1	21	Finley, Michael	SF/SG	Wisconsin	2	1	1
1995	1	22	Zidek, George	C	UCLA	0	0	1
1995	1	23	Best, Travis	PG	Georgia Tech	0	0	1
1995	1	24	Meyer, Loren	PF	Iowa State	0	0	1
1995	1	25	Vaughn, David	PF/C	Memphis	0	0	1
1995	1	26	Ford, Sherell	PF	UIC	0	0	1
1995	1	27	Bennett, Mario	PF	Arizona State	0	0	1
1995	1	28	Ostertag, Greg	C	Kansas	0	0	1
1995	1	29	Alexander, Cory	PG	Virginia	0	0	1
1995	2	30	Roe, Lou	F	UMass	0	0	1
1995	2	31	Tarlać, Dragan	C	Olympiakos	0	0	1
1995	2	32	Rencher, Terrence	G	Texas	0	0	1
1995	2	33	Burrough, Junior	F	Virginia	0	0	1
1995	2	34	DeClercq, Andrew	PF/C	Florida	0	0	1
1995	2	35	King, Jimmy	G	Michigan	0	0	1
1995	2	36	Moten, Lawrence	G	Syracuse	0	0	1
1995	2	37	King, Frankie	G	Western Carolina	0	0	1
1995	2	38	Griffith, Rashard	C	Wisconsin	0	0	1
1995	2	39	Marshall, Donny	F	Connecticut	0	0	1
1995	2	40	Whitfield, Dwayne	F	Jackson State	0	0	1
1995	2	41	Meek, Erik	C	Duke	0	0	1
1995	2	42	Boyce, Donnie	G	Colorado	0	0	1
1995	2	43	Snow, Eric	PG	Michigan State	0	0	1
1995	2	44	Pelle, Anthony	C	Fresno State	0	0	1
1995	2	45	Brown, Troy	F/C	Providence	0	0	1
1995	2	46	Banks, George	F	UTEP	0	0	1
1995	2	47	Edney, Tyus	PG	UCLA	0	0	1
1995	2	48	Davis, Mark	G/F	Texas Tech	0	0	1
1995	2	49	Allen, Jerome	G	Pennsylvania	0	0	1
1995	2	50	Lewis, Martin	F	Seward County	0	0	1
1995	2	51	Bodiroga, Dejan	SF	Olimpia (Stefanel) Milano	0	0	1
1995	2	52	Hoiberg, Fred	SG	Iowa State	0	0	1
1995	2	53	Popa, Constantin	C	Miami (Florida)	0	0	1
1995	2	54	Zukauskas, Eurelijus	C	Neptūnas Klaipėda	0	0	1
1995	2	55	McDonald, Michael	C	New Orleans	0	0	1
1995	2	56	Carr, Chris	G	Southern Illinois	0	0	1
1995	2	57	Martin, Cuonzo	G/F	Purdue	0	0	1
1995	2	58	Reid, Don	F	Georgetown	0	0	1
1996	1	1	Iverson, Allen	G	Georgetown	11	1	1
1996	1	2	Camby, Marcus	C	Massachusetts	0	0	1
1996	1	3	Abdur-Rahim, Shareef	F	California	1	1	1
1996	1	4	Marbury, Stephon	G	Georgia Tech	2	1	1
1996	1	5	Allen, Ray	G	Connecticut	10	1	1
1996	1	6	Walker, Antoine	F	Kentucky	3	1	1
1996	1	7	Wright, Lorenzen	C	Memphis	0	0	1
1996	1	8	Kittles, Kerry	G	Villanova	0	0	1
1996	1	9	Walker, Samaki	F	Louisville	0	0	1
1996	1	10	Dampier, Erick	C	Mississippi State	0	0	1
1996	1	11	Fuller, Todd	C	NC State	0	0	1
1996	1	12	Potapenko, Vitaly	C	Wright State	0	0	1
1996	1	13	Bryant, Kobe	G	Lower Merion HS	18	1	1
1996	1	14	Stojaković, Peja	F	PAOK	3	1	1
1996	1	15	Nash, Steve	G	Santa Clara	8	1	1
1996	1	16	Delk, Tony	G	Kentucky	0	0	1
1996	1	17	O'Neal, Jermaine	F/C	Eau Claire HS	6	1	1
1996	1	18	Wallace, John	F	Syracuse	0	0	1
1996	1	19	McCarty, Walter	F	Kentucky	0	0	1
1996	1	20	Ilgauskas, Žydrūnas	C	Atletas Kaunas	2	1	1
1996	1	21	Jones, Dontae	F	Mississippi State	0	0	1
1996	1	22	Rogers, Roy	F	Alabama	0	0	1
1996	1	23	Rentzias, Efthimios	C	PAOK	0	0	1
1996	1	24	Fisher, Derek	G	Arkansas-Little Rock	0	0	1
1996	1	25	Müürsepp, Martin	F	Tallinna Kalev	0	0	1
1996	1	26	Williams, Jerome	F	Georgetown	0	0	1
1996	1	27	Evans, Brian	F	Indiana	0	0	1
1996	1	28	Lauderdale, Priest	C	Peristeri	0	0	1
1996	1	29	Knight, Travis	C	Connecticut	0	0	1
1996	2	30	Harrington, Othella	F/C	Georgetown	0	0	1
1996	2	31	Hendrickson, Mark	G	Washington State	0	0	1
1996	2	32	Minor, Ryan	G	Oklahoma	0	0	1
1996	2	33	Norris, Moochie	G	West Florida	0	0	1
1996	2	34	Harvey, Shawn	G	West Virginia State	0	0	1
1996	2	35	Blair, Joseph	C	Arizona	0	0	1
1996	2	36	Sheffer, Doron	G	Connecticut	0	0	1
1996	2	37	McInnis, Jeff	G	North Carolina	0	0	1
1996	2	38	Hamer, Steve	C	Tennessee	0	0	1
1996	2	39	Millard, Russ	F	Iowa	0	0	1
1996	2	40	Mann, Marcus	F	Mississippi Valley State	0	0	1
1996	2	41	Sasser, Jason	F	Texas Tech	0	0	1
1996	2	42	Livingston, Randy	G	LSU	0	0	1
1996	2	43	Davis, Ben	F	Arizona	0	0	1
1996	2	44	Rose, Malik	F	Drexel	0	0	1
1996	2	45	Vogel, Joe	C	Colorado State	0	0	1
1996	2	46	Brown, Marcus	G	Murray State	0	0	1
1996	2	47	Riley, Ron	G/F	Arizona State	0	0	1
1996	2	48	Feick, Jamie	F	Michigan State	0	0	1
1996	2	49	McCaskill, Amal	C	Marquette	0	0	1
1996	2	50	Bell, Terrell	C	Georgia	0	0	1
1996	2	51	Robinson, Chris	G	Western Kentucky	0	0	1
1996	2	52	Pope, Mark	F	Kentucky	0	0	1
1996	2	53	Nordgaard, Jeff	F	Wisconsin–Green Bay	0	0	1
1996	2	54	Anderson, Shandon	F	Georgia	0	0	1
1996	2	55	Henderson, Ronnie	G	LSU	0	0	1
1996	2	56	Geary, Reggie	G	Arizona	0	0	1
1996	2	57	Barry, Drew	G	Georgia Tech	0	0	1
1996	2	58	Robinson, Darnell	F	Arkansas	0	0	1
1997	1	1	Tim Duncan	PF/C	Wake Forest	15	1	1
1997	1	2	Van Horn, Keith	PF	Utah	0	0	1
1997	1	3	Billups, Chauncey	PG	Colorado	5	1	1
1997	1	4	Daniels, Antonio	PG	Bowling Green	0	0	1
1997	1	5	Battie, Tony	C/F	Texas Tech	0	0	1
1997	1	6	Mercer, Ron	SF	Kentucky	0	0	1
1997	1	7	Thomas, Tim	SF	Villanova	0	0	1
1997	1	8	Foyle, Adonal	C	Colgate	0	0	1
1997	1	9	McGrady, Tracy	SG/SF	Mt. Zion Christian Academy	7	1	1
1997	1	10	Fortson, Danny	PF	Cincinnati	0	0	1
1997	1	11	Abdul-Wahad, Tariq	SF	San Jose State	0	0	1
1997	1	12	Croshere, Austin	PF	Providence	0	0	1
1997	1	13	Anderson, Derek	SG	Kentucky	0	0	1
1997	1	14	Taylor, Maurice	PF	Michigan	0	0	1
1997	1	15	Cato, Kelvin	C	Iowa State	0	0	1
1997	1	16	Knight, Brevin	PG	Stanford	0	0	1
1997	1	17	Taylor, Johnny	PF	Chattanooga	0	0	1
1997	1	18	Anstey, Chris	PF	SE Melbourne Magic	0	0	1
1997	1	19	Pollard, Scot	C	Kansas	0	0	1
1997	1	20	Grant, Paul	C	Wisconsin	0	0	1
1997	1	21	Parker, Anthony	SG	Bradley	0	0	1
1997	1	22	Gray, Ed	PG/SG	California	0	0	1
1997	1	23	Jackson, Bobby	PG	Minnesota	0	0	1
1997	1	24	Rhodes, Rodrick	SG	USC	0	0	1
1997	1	25	Thomas, John	C	Minnesota	0	0	1
1997	1	26	Smith, Charles	SG	New Mexico	0	0	1
1997	1	27	Vaughn, Jacque	PG	Kansas	0	0	1
1997	1	28	Booth, Keith	SF	Maryland	0	0	1
1997	2	29	Zwikker, Serge	C	North Carolina	0	0	1
1997	2	30	Sanford, Mark	SF/PF	Washington	0	0	1
1997	2	31	O'Bannon, Charles	PG	UCLA	0	0	1
1997	2	32	Cotton, James	SF	Long Beach State	0	0	1
1997	2	33	Milič, Marko	PG/SG	Smelt Olimpija	0	0	1
1997	2	34	Wells, Bubba	SF/PF	Austin Peay	0	0	1
1997	2	35	Stewart, Kebu	SF/PF	Cal State Bakersfield	0	0	1
1997	2	36	Collins, James	PG/SG	Florida State	0	0	1
1997	2	37	Jackson, Marc	SF/PF	Temple	0	0	1
1997	2	38	Honeycutt, Jerald	PF	Tulane	0	0	1
1997	2	39	Johnson, Anthony	PG/SG	College of Charleston	0	0	1
1997	2	40	Elisma, Ed	SF	Georgia Tech	0	0	1
1997	2	41	Lawson, Jason	C	Villanova	0	0	1
1997	2	42	Jackson, Stephen	SG	Butler CC	0	0	1
1997	2	43	Malone, Gordon	SF	West Virginia	0	0	1
1997	2	44	Henderson, Cedric	PF	Memphis	0	0	1
1997	2	45	Shammgod, God	PG	Providence	0	0	1
